timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];speed estimate [deg/s];speed estimate hall [deg/s];acc estimate [deg/s^2];acc estimate hall [deg/s^2];hall_voltage [V];est angle hall [deg];filtered hall speed [deg/s];filtered hall acc [deg/s^2];cutoff freq [Hz];stiffness [N.m/deg];damping [N.m/deg];rest position [deg];ref_pos [deg];k_p;k_i;k_d;set PID 0/1;start dry test 0/1;friction torque [N.m];Dry friction compensation;Viscous friction compensation;Gravity compensation;Virtual wall;Virtual wall automatic;Wall stiffness [N.m/deg];Wall damping [N.m/deg/s];zero_cross_count;Wall filter [Hz];set EMG torque;set EMG position;EMG value [V];Filtered EMG value [V];EMG time threshold [us];EMG diff [V];EMG min [V];EMG max [V];EMG offset [V];EMG window;EMG mean [V];EMG precise;EMG hold active;EMG hold value [V];EMG hold thres [V];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
51.8616;-0.004003158771;0;350;0;7.59375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0009239849169;0;0;0;0.001000000047;1;0;0;0
51.86265;-0.004003158771;0;350;0;7.541015625;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0009178582113;0;0;0;0.001000000047;1;0;0;0
51.8637;-0.004003158771;0;350;0;7.4765625;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0009119142778;0;0;0;0.001000000047;1;0;0;0
51.86475;-0.004003158771;0;350;0;7.41796875;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0009048357606;0;0;0;0.001000000047;1;0;0;0
51.86545;-0.004003158771;0;350;0;7.3828125;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0008987547481;0;0;0;0.001000000047;1;0;0;0
51.8665;-0.004003158771;0;350;0;7.318359375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0008872148464;0;0;0;0.001000000047;1;0;0;0
51.86755;-0.004003158771;0;350;0;7.25390625;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0008728824323;0;0;0;0.001000000047;1;0;0;0
51.8686;-0.004003158771;0;350;0;7.177734375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0008565869648;0;0;0;0.001000000047;1;0;0;0
51.86965;-0.004003158771;0;350;0;7.083984375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0008396807825;0;0;0;0.001000000047;1;0;0;0
51.8707;-0.004003158771;0;350;0;6.984375;0;0;0;0;2.117604494;-20.48226929;-0.5026962757;4074.22876;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.001000000047;0;0;0;0;1;1.237484694;1.221433997;1000;0.0003906488419;1.221433997;1.222239017;0.002000000095;100;0.0008224043413;0;0;0;0.001000000047;1;0;0;0
